|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                                Occurrence                                |
                      |          Text           |  #Targ  |  #Corr  |   #FA   |  #Miss  |    TWV    |    PFA    |  PMISS   |
         KW202-00194  |               themanini |       7 |       7 |      24 |       0 |    0.3303 |   0.00067 |    0.000 |
         KW202-00195  |                  kakazi |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00196  |           an understate |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00197  |         that's a lot of |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00198  |              mahali uko |       3 |       3 |      57 |       0 |   -0.5902 |   0.00159 |    0.000 |
         KW202-00199  |                  mtungi |       2 |       2 |      48 |       0 |   -0.3391 |   0.00134 |    0.000 |
         KW202-00200  |      angaza itawezekana |       1 |       1 |       0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00201  |                 serious |       9 |       8 |      73 |       1 |   -1.1481 |   0.00204 |    0.111 |
         KW202-00202  |               hautaisha |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00203  |                 atarudi |       6 |       6 |      30 |       0 |    0.1630 |   0.00084 |    0.000 |
         KW202-00204  |                 kuuliza |       2 |       2 |      71 |       0 |   -0.9808 |   0.00198 |    0.000 |
         KW202-00205  |               alikuwako |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00206  |             anakasirika |       1 |       1 |      10 |       0 |    0.7210 |   0.00028 |    0.000 |
         KW202-00207  |             mama watoto |       1 |       1 |      13 |       0 |    0.6373 |   0.00036 |    0.000 |
         KW202-00208  |       utoto unakumaliza |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00209  |               walipitwa |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00210  |           at the end of |       1 |       1 |       2 |       0 |    0.9442 |   0.00006 |    0.000 |
         KW202-00211  |               next week |       4 |       3 |      70 |       1 |   -1.2030 |   0.00195 |    0.250 |
         KW202-00212  |              nikupeleke |       1 |       1 |      29 |       0 |    0.1910 |   0.00081 |    0.000 |
         KW202-00213  |         they first came |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00214  |               leo usiku |       2 |       2 |      36 |       0 |   -0.0043 |   0.00100 |    0.000 |
         KW202-00215  |                papa jay |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00216  |              sijachukua |       1 |       1 |      17 |       0 |    0.5257 |   0.00047 |    0.000 |
         KW202-00217  |                   mpate |       1 |       1 |      74 |       0 |   -1.0644 |   0.00206 |    0.000 |
         KW202-00218  |                  mwanzo |       4 |       3 |      73 |       1 |   -1.2867 |   0.00204 |    0.250 |
         KW202-00219  |            haiwezi isha |       1 |       1 |       3 |       0 |    0.9163 |   0.00008 |    0.000 |
         KW202-00220  |                   asked |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00221  |             inaitwa aje |       3 |       3 |      18 |       0 |    0.4978 |   0.00050 |    0.000 |
         KW202-00222  |                yatakuwa |       3 |       3 |      50 |       0 |   -0.3949 |   0.00140 |    0.000 |
         KW202-00223  |                 amebeba |       1 |       1 |      30 |       0 |    0.1631 |   0.00084 |    0.000 |
         KW202-00224  |             wakiniuliza |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00225  |             fanya bidii |         |         |         |         |           |           |          |
         KW202-00226  |               nchi yetu |       3 |       1 |      18 |       2 |   -0.1688 |   0.00050 |    0.667 |
         KW202-00227  |           pelekwa coast |       1 |       1 |       0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00228  |                mwengine |       5 |       4 |     107 |       1 |   -2.1854 |   0.00299 |    0.200 |
         KW202-00229  |               tunaonana |       1 |       1 |      52 |       0 |   -0.4507 |   0.00145 |    0.000 |
         KW202-00230  |                umezeeka |       1 |       1 |      29 |       0 |    0.1910 |   0.00081 |    0.000 |
         KW202-00231  |               nakupikia |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00232  |            haitafanyika |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00233  |              were alert |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00234  |           online kumake |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00235  |                umekawia |       1 |       0 |      16 |       1 |   -0.4464 |   0.00045 |    1.000 |
         KW202-00236  |          pahali mnaenda |       1 |       1 |       0 |       0 |    1.0000 |   0.00000 |    0.000 |
