|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                                Occurrence                                 |
                      |          Text           |  #Targ  |  #Corr  |   #FA   |  #Miss  |    TWV     |    PFA    |  PMISS   |
         KW202-00150  |                  i mean |       2 |       0 |      47 |       2 |    -1.3112 |   0.00131 |    1.000 |
         KW202-00151  |               haikuangi |       1 |       1 |       8 |       0 |     0.7768 |   0.00022 |    0.000 |
         KW202-00152  |           mpoa akwambie |         |         |         |         |            |           |          |
         KW202-00153  |               kifo kifo |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00154  |             nimeshikana |       1 |       1 |      20 |       0 |     0.4421 |   0.00056 |    0.000 |
         KW202-00155  |                 unaijua |       1 |       1 |      44 |       0 |    -0.2275 |   0.00123 |    0.000 |
         KW202-00156  |                 ulikula |       1 |       1 |      55 |       0 |    -0.5344 |   0.00153 |    0.000 |
         KW202-00157  |             nilishangaa |       1 |       1 |      10 |       0 |     0.7210 |   0.00028 |    0.000 |
         KW202-00158  |               mshanunua |       1 |       1 |       3 |       0 |     0.9163 |   0.00008 |    0.000 |
         KW202-00159  |           tunaleta fujo |       1 |       1 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00160  |               tukicheza |       1 |       0 |      10 |       1 |    -0.2790 |   0.00028 |    1.000 |
         KW202-00161  |            coin ukiweka |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00162  |                tunakula |       1 |       1 |      21 |       0 |     0.4142 |   0.00059 |    0.000 |
         KW202-00163  |            bell ikiring |         |         |         |         |            |           |          |
         KW202-00164  |           madogo madogo |       2 |       2 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00165  |                 malaria |       1 |       0 |      19 |       1 |    -0.5301 |   0.00053 |    1.000 |
         KW202-00166  |               utatafuta |       1 |       1 |      17 |       0 |     0.5257 |   0.00047 |    0.000 |
         KW202-00167  |           ilikuwa mbaya |       2 |       2 |       4 |       0 |     0.8884 |   0.00011 |    0.000 |
         KW202-00168  |             ukinitafuta |       1 |       1 |       3 |       0 |     0.9163 |   0.00008 |    0.000 |
         KW202-00169  |              ako karibu |       4 |       4 |      13 |       0 |     0.6373 |   0.00036 |    0.000 |
         KW202-00170  |           nitakuja nazo |       5 |       3 |       0 |       2 |     0.6000 |   0.00000 |    0.400 |
         KW202-00171  |                 kutumia |       6 |       5 |      50 |       1 |    -0.5617 |   0.00140 |    0.167 |
         KW202-00172  |           wanaendeleaje |       2 |       1 |      21 |       1 |    -0.0859 |   0.00059 |    0.500 |
         KW202-00173  |         kinaweza saidia |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00174  |             kuna kijana |       2 |       2 |       5 |       0 |     0.8605 |   0.00014 |    0.000 |
         KW202-00175  |               kituo cha |       2 |       2 |       2 |       0 |     0.9442 |   0.00006 |    0.000 |
         KW202-00176  |                nitazima |       1 |       1 |      15 |       0 |     0.5815 |   0.00042 |    0.000 |
         KW202-00177  |               nikaongea |       1 |       1 |      34 |       0 |     0.0515 |   0.00095 |    0.000 |
         KW202-00178  |            unaweza enda |       2 |       2 |      22 |       0 |     0.3862 |   0.00061 |    0.000 |
         KW202-00179  |               tutafanya |      13 |      12 |      43 |       1 |    -0.2769 |   0.00120 |    0.077 |
         KW202-00180  |                  ripoti |       3 |       3 |      23 |       0 |     0.3583 |   0.00064 |    0.000 |
         KW202-00181  |                   daudi |       2 |       2 |      13 |       0 |     0.6373 |   0.00036 |    0.000 |
         KW202-00182  |                  tukuwe |       1 |       1 |      96 |       0 |    -1.6782 |   0.00268 |    0.000 |
         KW202-00183  |               rael rael |         |         |         |         |            |           |          |
         KW202-00184  |          marafiki zangu |       1 |       1 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00185  |            atupe hekima |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00186  |                 imeweka |       1 |       0 |      36 |       1 |    -1.0043 |   0.00100 |    1.000 |
         KW202-00187  |              alimdirect |       1 |       1 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00188  |             ken ken ken |       1 |       1 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00189  |            kutoka kwako |       2 |       2 |       5 |       0 |     0.8605 |   0.00014 |    0.000 |
         KW202-00190  |                 akipiga |       1 |       1 |      10 |       0 |     0.7210 |   0.00028 |    0.000 |
         KW202-00191  |              only asked |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00192  |          buying centers |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00193  |                nikisema |       1 |       1 |      21 |       0 |     0.4142 |   0.00059 |    0.000 |
         KW202-00194  |               themanini |       7 |       6 |      13 |       1 |     0.4944 |   0.00036 |    0.143 |
         KW202-00195  |                  kakazi |       1 |       1 |      36 |       0 |    -0.0043 |   0.00100 |    0.000 |
         KW202-00196  |           an understate |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00197  |         that's a lot of |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00198  |              mahali uko |       3 |       2 |      37 |       1 |    -0.3656 |   0.00103 |    0.333 |
         KW202-00199  |                  mtungi |       2 |       1 |      16 |       1 |     0.0536 |   0.00045 |    0.500 |
         KW202-00200  |      angaza itawezekana |       1 |       1 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00201  |                 serious |       9 |       8 |      66 |       1 |    -0.9528 |   0.00184 |    0.111 |
         KW202-00202  |               hautaisha |       1 |       1 |       6 |       0 |     0.8326 |   0.00017 |    0.000 |
         KW202-00203  |                 atarudi |       6 |       5 |      28 |       1 |     0.0521 |   0.00078 |    0.167 |
         KW202-00204  |                 kuuliza |       2 |       2 |     104 |       0 |    -1.9014 |   0.00290 |    0.000 |
         KW202-00205  |               alikuwako |       1 |       0 |     256 |       1 |    -7.1417 |   0.00714 |    1.000 |
         KW202-00206  |             anakasirika |       1 |       1 |       4 |       0 |     0.8884 |   0.00011 |    0.000 |
         KW202-00207  |             mama watoto |       1 |       1 |       6 |       0 |     0.8326 |   0.00017 |    0.000 |
         KW202-00208  |       utoto unakumaliza |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00209  |               walipitwa |       1 |       1 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00210  |           at the end of |       1 |       0 |       1 |       1 |    -0.0279 |   0.00003 |    1.000 |
         KW202-00211  |               next week |       4 |       3 |      39 |       1 |    -0.3381 |   0.00109 |    0.250 |
         KW202-00212  |              nikupeleke |       1 |       1 |      19 |       0 |     0.4699 |   0.00053 |    0.000 |
         KW202-00213  |         they first came |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00214  |               leo usiku |       2 |       2 |      26 |       0 |     0.2746 |   0.00073 |    0.000 |
         KW202-00215  |                papa jay |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00216  |              sijachukua |       1 |       1 |       5 |       0 |     0.8605 |   0.00014 |    0.000 |
         KW202-00217  |                   mpate |       1 |       1 |      59 |       0 |    -0.6459 |   0.00165 |    0.000 |
         KW202-00218  |                  mwanzo |       4 |       3 |      52 |       1 |    -0.7008 |   0.00145 |    0.250 |
         KW202-00219  |            haiwezi isha |       1 |       1 |       2 |       0 |     0.9442 |   0.00006 |    0.000 |
         KW202-00220  |                   asked |       1 |       0 |       1 |       1 |    -0.0279 |   0.00003 |    1.000 |
         KW202-00221  |             inaitwa aje |       3 |       3 |      13 |       0 |     0.6373 |   0.00036 |    0.000 |
         KW202-00222  |                yatakuwa |       3 |       3 |      33 |       0 |     0.0793 |   0.00092 |    0.000 |
         KW202-00223  |                 amebeba |       1 |       1 |      20 |       0 |     0.4421 |   0.00056 |    0.000 |
         KW202-00224  |             wakiniuliza |       1 |       1 |       5 |       0 |     0.8605 |   0.00014 |    0.000 |
         KW202-00225  |             fanya bidii |         |         |         |         |            |           |          |
         KW202-00226  |               nchi yetu |       3 |       1 |       6 |       2 |     0.1659 |   0.00017 |    0.667 |
         KW202-00227  |           pelekwa coast |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00228  |                mwengine |       5 |       4 |     120 |       1 |    -2.5481 |   0.00335 |    0.200 |
         KW202-00229  |               tunaonana |       1 |       0 |      43 |       1 |    -1.1996 |   0.00120 |    1.000 |
         KW202-00230  |                umezeeka |       1 |       1 |      15 |       0 |     0.5815 |   0.00042 |    0.000 |
         KW202-00231  |               nakupikia |       1 |       1 |     116 |       0 |    -2.2361 |   0.00324 |    0.000 |
         KW202-00232  |            haitafanyika |       1 |       0 |       6 |       1 |    -0.1674 |   0.00017 |    1.000 |
         KW202-00233  |              were alert |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00234  |           online kumake |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00235  |                umekawia |       1 |       1 |      18 |       0 |     0.4978 |   0.00050 |    0.000 |
         KW202-00236  |          pahali mnaenda |       1 |       1 |       2 |       0 |     0.9442 |   0.00006 |    0.000 |
