|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                                Occurrence                                |
                      |          Text           |  #Targ  |  #Corr  |   #FA   |  #Miss  |    TWV    |    PFA    |  PMISS   |
         KW202-00170  |           nitakuja nazo |       5 |       4 |       6 |       1 |    0.6326 |   0.00017 |    0.200 |
         KW202-00171  |                 kutumia |       6 |       6 |     116 |       0 |   -2.2366 |   0.00324 |    0.000 |
         KW202-00172  |           wanaendeleaje |       2 |       1 |      44 |       1 |   -0.7275 |   0.00123 |    0.500 |
         KW202-00173  |         kinaweza saidia |       1 |       1 |       0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00174  |             kuna kijana |       2 |       2 |      16 |       0 |    0.5536 |   0.00045 |    0.000 |
         KW202-00175  |               kituo cha |       2 |       2 |      23 |       0 |    0.3583 |   0.00064 |    0.000 |
         KW202-00176  |                nitazima |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00177  |               nikaongea |       1 |       1 |      85 |       0 |   -1.3713 |   0.00237 |    0.000 |
         KW202-00178  |            unaweza enda |       2 |       2 |      46 |       0 |   -0.2833 |   0.00128 |    0.000 |
         KW202-00179  |               tutafanya |      13 |      12 |      78 |       1 |   -1.2537 |   0.00218 |    0.077 |
         KW202-00180  |                  ripoti |       3 |       3 |      51 |       0 |   -0.4228 |   0.00142 |    0.000 |
         KW202-00181  |                   daudi |       2 |       2 |      92 |       0 |   -1.5666 |   0.00257 |    0.000 |
         KW202-00182  |                  tukuwe |       1 |       1 |     218 |       0 |   -5.0816 |   0.00608 |    0.000 |
         KW202-00183  |               rael rael |         |         |         |         |           |           |          |
